Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2013-02-01 00:00:00,1.3,PO020050NU0002,860482.1860359581,5562755.292018441,21.0,19.7,181.0,19.347407407407403,27.0,POINT (860482.1860359581 5562755.292018441),[-200.],0.0,0,1,-160.0,24.31101045683795,4.963603049430546
2013-01-21 00:00:00,1.18,PO0200530R0089,889543.334249345,5583457.143494137,33.0,31.82,30.0,31.620476190476204,84.0,POINT (889543.334249345 5583457.143494137),[-66.834947],0.0,0,1,3.0,31.091823133382032,-0.5286530570941714
2013-01-02 00:00:00,2.99,PO0200550U0093,894779.1399213355,5560485.806346843,14.0,11.01,176.0,11.104304347826083,138.0,POINT (894779.1399213355 5560485.806346843),[-251.7797],0.0,0,1,-162.0,17.241451852316118,6.137147504490034
2013-01-16 00:00:00,2.64,PO0200570U0002,894164.6833107374,5572833.435634336,22.0,19.36,10.5,19.22756097560977,82.0,POINT (894164.6833107374 5572833.4356343355),[-126.19838],0.0,0,1,11.5,20.70080153686858,1.4732405612588089
2013-01-13 00:00:00,2.96,PO0200590R0097,866248.7593692817,5565325.673749184,25.0,22.04,163.0,21.84464285714285,84.0,POINT (866248.7593692817 5565325.673749184),[-200.],0.0,0,1,-138.0,23.493773778299612,1.649130921156761
2013-01-15 00:00:00,2.25,PO020060NR0001,914070.0877048412,5554006.9080082,14.0,11.75,134.06,10.24779220779221,77.0,POINT (914070.0877048412 5554006.9080082),[-200.],0.0,0,1,-120.06,13.51461021102969,3.2668180032374803
2013-01-22 00:00:00,1.46,PO020061NR0001,928014.0495731856,5558358.239463549,14.0,12.54,10.0,11.788289473684207,76.0,POINT (928014.0495731857 5558358.239463549),[-198.98789],0.0,0,1,4.0,9.616961930678187,-2.1713275430060204
2015-05-26 00:00:00,5.95,PO020061NUP001,931324.0126303252,5556762.270948617,12.0,6.05,50.0,4.6926,50.0,POINT (931324.0126303252 5556762.270948617),[-200.],0.0,0,1,-38.0,7.391114287279883,2.6985142872798837
2013-01-15 00:00:00,1.25,PO0200680R0001,909149.8908387208,5570565.608806288,17.0,15.75,120.0,15.84972222222222,36.0,POINT (909149.8908387207 5570565.608806288),[-122.24898],0.0,0,1,-103.0,15.371961945321743,-0.47776027690047584
2013-01-08 00:00:00,1.0,PO0200700R0002,875689.4791503219,5589236.476236541,52.0,51.0,15.0,50.78109756097562,82.0,POINT (875689.4791503219 5589236.476236541),[-70.248972],0.0,0,1,37.0,44.906114386670744,-5.874983174304873
2013-01-04 00:00:00,5.18,PO0150150U0001,753967.4401019306,5592783.148055551,98.0,92.82,42.0,94.06985074626866,67.0,POINT (753967.4401019306 5592783.148055551),[10.556178],0.0,0,1,56.0,92.6278512648473,-1.4419994814213624
2016-02-01 00:00:00,29.8,PO015118NUP001,730419.5993991848,5616956.703897454,201.0,171.2,88.0,169.93034482758625,29.0,POINT (730419.5993991848 5616956.703897454),[109.62105],0.0,0,1,113.0,158.37600000408656,-11.55434482349969
2015-03-19 00:00:00,7.76,PO015140NR0109,766796.7191606266,5593108.250270753,89.0,81.24,21.0,80.896724137931,58.0,POINT (766796.7191606266 5593108.250270753),[0.],0.0,0,1,68.0,84.77919866943415,3.8824745315031493
2013-01-11 00:00:00,5.2,PO015146NU1353,760764.0604249102,5604180.4540825365,111.0,105.8,16.0,106.01287671232876,73.0,POINT (760764.0604249102 5604180.4540825365),[45.254133],0.0,0,1,95.0,106.03478320088635,0.021906488557590365
2013-01-11 00:00:00,9.1,PO015146NU1378,756115.1070434112,5602027.19190914,112.0,102.9,14.0,103.30661971830985,71.0,POINT (756115.1070434112 5602027.19190914),[38.683097],0.0,0,1,98.0,108.03999573075849,4.733376012448645
2013-01-11 00:00:00,3.75,PO015146NU1379,759862.5718695469,5599987.667579294,103.0,99.25,7.0,99.54985507246376,69.0,POINT (759862.5718695469 5599987.667579294),[29.476317],0.0,0,1,96.0,99.85538429534355,0.3055292228797981
2013-01-11 00:00:00,6.35,PO015146NU1435,750404.8351783325,5602187.90921967,115.0,108.65,9.0,108.7646575342466,73.0,POINT (750404.8351783325 5602187.90921967),[47.823987],0.0,0,1,106.0,110.88414914144275,2.119491607196153
2013-01-11 00:00:00,7.05,PO015146NU1496,746165.6863760368,5608060.6600951245,137.0,129.95,15.0,131.13479452054787,73.0,POINT (746165.6863760368 5608060.6600951245),[80.163784],0.0,0,1,122.0,120.78119454335175,-10.353599977196126
2013-01-11 00:00:00,15.1,PO015146NU1536,752304.8033760419,5606964.5088936975,135.0,119.9,19.0,120.68555555555552,72.0,POINT (752304.8033760419 5606964.5088936975),[65.560677],0.0,0,1,116.0,116.83297862933128,-3.852576926224245
2018-07-18 00:00:00,2.94,PO015173NR0001,757085.2326044603,5591981.659483956,95.0,92.06,30.0,91.735,18.0,POINT (757085.2326044603 5591981.659483956),[2.7264988],0.0,0,1,65.0,89.83604729776003,-1.898952702239967
2015-05-25 00:00:00,14.08,PO0152020U0025,770280.3921468641,5589961.453521357,83.0,68.92,28.0,68.72571428571429,42.0,POINT (770280.3921468641 5589961.453521357),[0.],0.0,0,1,55.0,78.80906946412156,10.083355178407274
2015-05-25 00:00:00,14.41,PO0152020U0026,770280.5310158838,5589961.346512344,83.0,68.59,60.0,69.43571428571427,35.0,POINT (770280.5310158838 5589961.346512344),[0.],0.0,0,1,23.0,78.80885476123932,9.373140475525048
2013-01-04 00:00:00,2.81,PO0152100U0004,772566.6222971162,5601469.017409436,101.0,98.19,43.0,97.89178571428576,56.0,POINT (772566.6222971162 5601469.017409436),[3.7864457],0.0,0,1,58.0,91.73918417209028,-6.152601542195484
2013-03-01 00:00:00,6.23,PO0152210U0001,781898.8711665649,5620521.610324975,168.0,161.77,32.98,161.62600000000006,35.0,POINT (781898.8711665649 5620521.610324975),[127.48235],0.0,0,1,135.02,161.6203432948342,-0.0056567051658475975
2013-01-04 00:00:00,2.98,PO0152350U0001,738775.4922342451,5597266.049453536,115.0,112.02,61.96,112.11126984126987,63.0,POINT (738775.4922342451 5597266.049453536),[42.7957],0.0,0,1,53.04,110.06757656456486,-2.0436932767050138
2013-01-04 00:00:00,4.18,PO0152360U0003,746906.1606038206,5590513.434542076,98.0,93.82,76.0,93.675873015873,63.0,POINT (746906.1606038206 5590513.434542076),[15.507655],0.0,0,1,22.0,93.17919395714041,-0.4966790587325818
2015-02-27 00:00:00,1.42,PO015247NR0185,746117.609684286,5597635.500964734,107.0,105.58,35.0,105.70576271186438,59.0,POINT (746117.609684286 5597635.500964734),[34.435882],0.0,0,1,72.0,105.70624242094866,0.0004797090842743046
2013-02-01 00:00:00,30.28,PO0152490U0002,720799.7944046773,5616491.400221854,198.0,167.72,60.0,168.6764516129032,62.0,POINT (720799.7944046773 5616491.400221854),[100.],0.0,0,1,138.0,158.48588866154822,-10.190562951354991
